Country,1990,2000,2010,2015,2018,2019,2020,2021
Switzerland,0.85,0.89,0.94,0.95,0.96,0.96,0.96,0.96
Norway,0.84,0.91,0.94,0.95,0.96,0.96,0.96,0.96
Iceland,0.81,0.87,0.90,0.95,0.96,0.96,0.96,0.96
Hong Kong,0.79,0.85,0.91,0.94,0.95,0.95,0.95,0.95
Australia,0.87,0.90,0.92,0.93,0.94,0.94,0.95,0.95
Denmark,0.83,0.89,0.91,0.94,0.94,0.95,0.95,0.95
Sweden,0.81,0.90,0.91,0.94,0.94,0.95,0.94,0.95
Ireland,0.74,0.85,0.90,0.93,0.94,0.94,0.94,0.95
Germany,0.83,0.89,0.93,0.94,0.95,0.95,0.94,0.94
Netherlands,0.85,0.89,0.92,0.93,0.94,0.94,0.94,0.94
Finland,0.81,0.89,0.91,0.93,0.94,0.94,0.94,0.94
Singapore,0.73,0.83,0.91,0.93,0.94,0.94,0.94,0.94
Belgium,0.82,0.89,0.91,0.92,0.93,0.94,0.93,0.94
New Zealand,0.81,0.89,0.92,0.93,0.94,0.94,0.94,0.94
Canada,0.86,0.89,0.91,0.93,0.93,0.94,0.93,0.94
Liechtenstein,0.00,0.87,0.91,0.92,0.93,0.94,0.93,0.94
Luxembourg,0.79,0.86,0.91,0.92,0.92,0.93,0.92,0.93
United Kingdom,0.80,0.86,0.91,0.92,0.93,0.94,0.92,0.93
Japan,0.85,0.88,0.90,0.92,0.92,0.92,0.92,0.93
Korea (Republic of),0.74,0.83,0.89,0.91,0.92,0.92,0.92,0.93
United States,0.87,0.89,0.91,0.92,0.93,0.93,0.92,0.92
Israel,0.79,0.84,0.89,0.91,0.92,0.92,0.92,0.92
Malta,0.73,0.78,0.86,0.89,0.91,0.92,0.91,0.92
Slovenia,0.00,0.82,0.89,0.90,0.92,0.92,0.91,0.92
Austria,0.83,0.87,0.90,0.91,0.92,0.92,0.91,0.92
United Arab Emirates,0.73,0.80,0.84,0.87,0.91,0.92,0.91,0.91
Spain,0.76,0.83,0.87,0.89,0.90,0.91,0.90,0.91
France,0.79,0.84,0.88,0.89,0.90,0.91,0.90,0.90
Cyprus,0.72,0.80,0.86,0.87,0.89,0.90,0.89,0.90
Italy,0.78,0.84,0.88,0.88,0.89,0.90,0.89,0.90
Estonia,0.73,0.79,0.86,0.88,0.89,0.90,0.89,0.89
Czechia,0.74,0.81,0.87,0.89,0.89,0.90,0.89,0.89
Greece,0.76,0.81,0.87,0.88,0.89,0.89,0.89,0.89
Poland,0.72,0.79,0.84,0.87,0.88,0.88,0.88,0.88
Bahrain,0.74,0.80,0.81,0.86,0.88,0.88,0.88,0.88
Lithuania,0.73,0.77,0.84,0.86,0.88,0.88,0.88,0.88
Saudi Arabia,0.68,0.74,0.82,0.86,0.87,0.87,0.87,0.88
Portugal,0.70,0.79,0.83,0.85,0.86,0.87,0.86,0.87
Latvia,0.73,0.76,0.82,0.85,0.87,0.87,0.87,0.86
Andorra,0.00,0.82,0.85,0.87,0.87,0.87,0.85,0.86
Croatia,0.00,0.76,0.82,0.84,0.86,0.86,0.86,0.86
Chile,0.71,0.76,0.81,0.85,0.86,0.86,0.85,0.86
Qatar,0.76,0.80,0.83,0.85,0.85,0.86,0.85,0.86
San Marino,0.00,0.00,0.00,0.00,0.86,0.86,0.85,0.85
Slovakia,0.69,0.76,0.84,0.85,0.86,0.86,0.86,0.85
Hungary,0.72,0.77,0.83,0.84,0.85,0.85,0.85,0.85
Argentina,0.72,0.78,0.83,0.85,0.85,0.85,0.84,0.84
TŸrkiye,0.60,0.67,0.75,0.82,0.84,0.84,0.83,0.84
Montenegro,0.00,0.00,0.81,0.82,0.83,0.84,0.83,0.83
Kuwait,0.72,0.79,0.81,0.83,0.84,0.84,0.82,0.83
Brunei Darussalam,0.77,0.81,0.83,0.84,0.83,0.83,0.83,0.83
Russian Federation,0.74,0.73,0.80,0.82,0.84,0.85,0.83,0.82
Romania,0.70,0.72,0.81,0.81,0.83,0.83,0.82,0.82
Oman,0.00,0.71,0.79,0.82,0.83,0.84,0.83,0.82
Bahamas,0.00,0.80,0.81,0.82,0.83,0.82,0.82,0.81
Kazakhstan,0.67,0.68,0.77,0.81,0.81,0.82,0.81,0.81
Trinidad and Tobago,0.66,0.71,0.79,0.82,0.82,0.82,0.82,0.81
Costa Rica,0.66,0.71,0.77,0.80,0.81,0.82,0.82,0.81
Uruguay,0.70,0.75,0.79,0.81,0.82,0.82,0.82,0.81
Belarus,0.00,0.71,0.79,0.81,0.82,0.82,0.81,0.81
Panama,0.67,0.72,0.77,0.80,0.81,0.82,0.80,0.81
Malaysia,0.64,0.72,0.77,0.80,0.81,0.81,0.81,0.80
Georgia,0.00,0.70,0.76,0.79,0.80,0.81,0.80,0.80
Mauritius,0.63,0.68,0.76,0.80,0.81,0.82,0.80,0.80
Serbia,0.00,0.69,0.77,0.79,0.81,0.81,0.80,0.80
Thailand,0.58,0.65,0.74,0.78,0.80,0.80,0.80,0.80
Albania,0.65,0.68,0.75,0.80,0.81,0.81,0.79,0.80
Bulgaria,0.68,0.73,0.79,0.81,0.81,0.81,0.80,0.80
Grenada,0.00,0.00,0.78,0.79,0.80,0.80,0.79,0.80
Barbados,0.73,0.76,0.79,0.79,0.80,0.80,0.79,0.79
Antigua and Barbuda,0.00,0.00,0.79,0.79,0.80,0.80,0.79,0.79
Seychelles,0.00,0.74,0.78,0.80,0.80,0.80,0.79,0.79
Sri Lanka,0.64,0.69,0.74,0.76,0.78,0.78,0.78,0.78
Bosnia and Herzegovina,0.00,0.67,0.73,0.76,0.78,0.78,0.78,0.78
Saint Kitts and Nevis,0.00,0.00,0.76,0.77,0.78,0.78,0.78,0.78
Iran,0.60,0.69,0.75,0.78,0.79,0.78,0.78,0.77
Ukraine,0.73,0.70,0.76,0.77,0.78,0.79,0.78,0.77
North Macedonia,0.00,0.68,0.74,0.76,0.78,0.78,0.77,0.77
China,0.48,0.58,0.69,0.73,0.76,0.76,0.76,0.77
Dominican Republic,0.58,0.65,0.71,0.74,0.76,0.77,0.76,0.77
Moldova,0.65,0.64,0.73,0.75,0.77,0.77,0.77,0.77
Palau,0.00,0.74,0.77,0.78,0.78,0.78,0.77,0.77
Cuba,0.68,0.69,0.78,0.77,0.78,0.79,0.78,0.76
Peru,0.62,0.68,0.73,0.76,0.78,0.78,0.76,0.76
Armenia,0.66,0.66,0.75,0.77,0.77,0.78,0.76,0.76
Mexico,0.66,0.71,0.75,0.77,0.78,0.78,0.76,0.76
Brazil,0.61,0.68,0.72,0.75,0.76,0.77,0.76,0.75
Colombia,0.61,0.67,0.73,0.75,0.76,0.77,0.76,0.75
Saint Vincent and the Grenadines,0.00,0.68,0.73,0.76,0.78,0.77,0.76,0.75
Maldives,0.00,0.63,0.69,0.74,0.75,0.76,0.73,0.75
Algeria,0.59,0.65,0.72,0.74,0.75,0.75,0.74,0.75
Azerbaijan,0.00,0.62,0.73,0.75,0.76,0.76,0.73,0.75
Tonga,0.65,0.69,0.71,0.73,0.74,0.74,0.75,0.75
Turkmenistan,0.00,0.00,0.71,0.74,0.75,0.74,0.74,0.75
Ecuador,0.65,0.69,0.74,0.77,0.76,0.76,0.73,0.74
Mongolia,0.58,0.60,0.70,0.73,0.74,0.75,0.75,0.74
Egypt,0.57,0.63,0.68,0.71,0.73,0.74,0.73,0.73
Tunisia,0.58,0.66,0.72,0.73,0.74,0.75,0.74,0.73
Fiji,0.64,0.68,0.71,0.73,0.75,0.75,0.74,0.73
Suriname,0.00,0.00,0.72,0.74,0.76,0.76,0.74,0.73
Uzbekistan,0.00,0.61,0.67,0.70,0.72,0.73,0.72,0.73
Dominica,0.00,0.70,0.71,0.70,0.73,0.73,0.72,0.72
Jordan,0.62,0.68,0.73,0.72,0.72,0.73,0.72,0.72
Libya,0.67,0.71,0.74,0.70,0.72,0.72,0.70,0.72
Paraguay,0.60,0.65,0.69,0.72,0.73,0.73,0.73,0.72
"Palestine, State of",0.00,0.00,0.69,0.71,0.72,0.73,0.72,0.72
Saint Lucia,0.69,0.70,0.73,0.74,0.75,0.74,0.72,0.72
Guyana,0.51,0.58,0.66,0.68,0.70,0.71,0.72,0.71
South Africa,0.63,0.63,0.68,0.72,0.73,0.74,0.73,0.71
Jamaica,0.66,0.66,0.70,0.71,0.72,0.72,0.71,0.71
Samoa,0.00,0.68,0.71,0.72,0.72,0.72,0.71,0.71
Gabon,0.61,0.64,0.66,0.70,0.71,0.71,0.71,0.71
Lebanon,0.00,0.00,0.77,0.75,0.75,0.75,0.73,0.71
Indonesia,0.53,0.60,0.66,0.70,0.71,0.72,0.71,0.71
Viet Nam,0.48,0.59,0.66,0.68,0.70,0.70,0.71,0.70
Philippines,0.60,0.63,0.67,0.70,0.71,0.72,0.71,0.70
Botswana,0.59,0.59,0.66,0.70,0.72,0.72,0.71,0.69
Bolivia,0.55,0.63,0.66,0.69,0.71,0.72,0.69,0.69
Kyrgyzstan,0.64,0.62,0.66,0.69,0.70,0.70,0.69,0.69
Venezuela,0.66,0.68,0.76,0.77,0.74,0.72,0.70,0.69
Iraq,0.53,0.59,0.64,0.68,0.69,0.70,0.68,0.69
Tajikistan,0.63,0.56,0.64,0.66,0.67,0.68,0.66,0.69
Belize,0.59,0.64,0.71,0.71,0.71,0.71,0.69,0.68
Morocco,0.45,0.52,0.60,0.65,0.68,0.68,0.68,0.68
El Salvador,0.53,0.62,0.66,0.67,0.68,0.68,0.67,0.68
Nicaragua,0.49,0.57,0.61,0.65,0.66,0.66,0.65,0.67
Bhutan,0.00,0.00,0.58,0.63,0.66,0.67,0.67,0.67
Cabo Verde,0.00,0.57,0.64,0.66,0.67,0.68,0.66,0.66
Bangladesh,0.40,0.49,0.55,0.60,0.64,0.64,0.66,0.66
Tuvalu,0.56,0.60,0.62,0.64,0.64,0.64,0.64,0.64
Marshall Islands,0.00,0.00,0.00,0.64,0.64,0.64,0.64,0.64
India,0.43,0.49,0.58,0.63,0.65,0.65,0.64,0.63
Ghana,0.46,0.51,0.57,0.61,0.62,0.63,0.63,0.63
Micronesia,0.00,0.57,0.63,0.63,0.63,0.63,0.63,0.63
Guatemala,0.48,0.55,0.61,0.64,0.64,0.64,0.64,0.63
Kiribati,0.00,0.55,0.59,0.62,0.62,0.63,0.62,0.62
Honduras,0.52,0.56,0.60,0.61,0.62,0.63,0.62,0.62
Sao Tome and Principe,0.49,0.50,0.55,0.60,0.62,0.62,0.62,0.62
Namibia,0.58,0.55,0.59,0.63,0.64,0.64,0.63,0.62
Lao People's Democratic Republic,0.41,0.47,0.55,0.60,0.61,0.61,0.61,0.61
Timor-Leste,0.00,0.00,0.62,0.61,0.61,0.61,0.61,0.61
Vanuatu,0.00,0.00,0.59,0.60,0.60,0.61,0.61,0.61
Nepal,0.40,0.47,0.54,0.58,0.60,0.61,0.60,0.60
Eswatini,0.55,0.47,0.50,0.58,0.61,0.62,0.61,0.60
Equatorial Guinea,0.00,0.51,0.58,0.60,0.60,0.61,0.60,0.60
Cambodia,0.38,0.43,0.54,0.57,0.59,0.60,0.60,0.59
Zimbabwe,0.51,0.45,0.51,0.58,0.60,0.60,0.60,0.59
Angola,0.00,0.38,0.51,0.58,0.60,0.60,0.59,0.59
Myanmar,0.33,0.41,0.51,0.56,0.59,0.60,0.60,0.59
Syrian Arab Republic,0.56,0.59,0.66,0.56,0.58,0.58,0.58,0.58
Cameroon,0.45,0.44,0.51,0.56,0.58,0.58,0.58,0.58
Kenya,0.47,0.48,0.55,0.56,0.58,0.58,0.58,0.58
Congo,0.52,0.49,0.56,0.59,0.58,0.57,0.57,0.57
Zambia,0.41,0.42,0.53,0.56,0.57,0.58,0.57,0.57
Solomon Islands,0.00,0.49,0.55,0.56,0.57,0.57,0.57,0.56
Comoros,0.00,0.46,0.52,0.54,0.56,0.56,0.56,0.56
Papua New Guinea,0.37,0.45,0.50,0.54,0.55,0.56,0.56,0.56
Mauritania,0.40,0.47,0.51,0.54,0.56,0.56,0.56,0.56
C™te d'Ivoire,0.43,0.46,0.47,0.51,0.54,0.55,0.55,0.55
Tanzania,0.37,0.40,0.49,0.52,0.54,0.55,0.55,0.55
Pakistan,0.40,0.44,0.51,0.53,0.55,0.55,0.54,0.54
Togo,0.41,0.45,0.48,0.51,0.53,0.54,0.54,0.54
Haiti,0.43,0.47,0.43,0.53,0.54,0.54,0.54,0.54
Nigeria,0.00,0.00,0.48,0.52,0.53,0.54,0.54,0.54
Rwanda,0.32,0.34,0.49,0.52,0.53,0.53,0.53,0.53
Benin,0.36,0.42,0.49,0.53,0.53,0.53,0.52,0.53
Uganda,0.33,0.39,0.50,0.52,0.52,0.53,0.52,0.53
Lesotho,0.48,0.45,0.47,0.50,0.52,0.52,0.52,0.51
Malawi,0.30,0.37,0.46,0.49,0.51,0.52,0.52,0.51
Senegal,0.37,0.39,0.47,0.51,0.51,0.51,0.51,0.51
Djibouti,0.00,0.36,0.46,0.49,0.51,0.51,0.51,0.51
Sudan,0.34,0.42,0.49,0.51,0.51,0.51,0.51,0.51
Madagascar,0.00,0.44,0.49,0.50,0.51,0.51,0.50,0.50
Gambia,0.34,0.40,0.46,0.48,0.50,0.50,0.50,0.50
Ethiopia,0.00,0.29,0.41,0.46,0.49,0.50,0.50,0.50
Eritrea,0.00,0.00,0.46,0.48,0.49,0.50,0.49,0.49
Guinea-Bissau,0.00,0.00,0.44,0.47,0.48,0.49,0.48,0.48
Liberia,0.00,0.44,0.46,0.47,0.48,0.48,0.48,0.48
Congo,0.39,0.38,0.43,0.46,0.48,0.48,0.48,0.48
Afghanistan,0.27,0.34,0.45,0.48,0.48,0.49,0.48,0.48
Sierra Leone,0.31,0.32,0.43,0.45,0.47,0.48,0.48,0.48
Guinea,0.27,0.35,0.42,0.44,0.46,0.47,0.47,0.47
Yemen,0.38,0.45,0.51,0.48,0.46,0.46,0.46,0.46
Burkina Faso,0.00,0.30,0.37,0.42,0.45,0.45,0.45,0.45
Mozambique,0.24,0.30,0.40,0.44,0.45,0.46,0.45,0.45
Mali,0.24,0.32,0.40,0.42,0.43,0.43,0.43,0.43
Burundi,0.29,0.30,0.41,0.43,0.43,0.43,0.43,0.43
Central African Republic,0.34,0.33,0.37,0.38,0.41,0.41,0.41,0.40
Niger,0.22,0.26,0.34,0.38,0.40,0.41,0.40,0.40
Chad,0.00,0.29,0.36,0.39,0.40,0.40,0.40,0.39
South Sudan,0.00,0.00,0.43,0.41,0.40,0.39,0.39,0.39